Staalnummer,Land,site,proefveld,year,diepte bodemstaalname,Staalnummering buitenland,plot,Behandeling,staaldiepte (cm onder maaiveld),start proef,textuurklasse,gewassen,gewassen (winter/zomer),yield (t/ha ),yield[t/ha],Column 14,max yield,relative_yield,,av rel yield,bodem P (mg/kg soil) (gekregen resultaten),P-AL (mg/kg),Column 20,P_ox,Al-ox (mg/kg),Fe-ox (mg/kg),P-ox (mmol/kg),Al-ox (mmol/kg),Fe-ox (mmol/kg),FVG (%),P_Olsen,P_CaCl2,P DGT (µg/L)
1,België1,Gembloux,Gembloux5,2015,,,8,P0,,1967,leem,wheat,wheat,"12,191,212,339",12.19121234,,12.3,99.4,94.9,94.9,,58.6,,216,611,2073,7,22.7,37.1,23.4,16.3,1.1,37.4
2,België1,Gembloux,Gembloux5,2015,,,9,P0,,1967,leem,wheat,wheat,"12,137,733,142",12.13773314,,12.3,99,,,,58.3,,216,620,2162,7,23,38.7,22.6,17.9,0.9,37.9
3,België1,Gembloux,Gembloux5,2015,,,21,P0,,1967,leem,wheat,wheat,"1,098,525,825",10.98525825,,12.3,89.6,,,,63.6,,242,855,2891,7.8,31.7,51.8,18.7,20.2,0.8,22.8
4,België1,Gembloux,Gembloux5,2015,,,31,P0,,1967,leem,wheat,wheat,"11,652,223,816",11.65222382,,12.3,95,,,,45.3,,201,627,2114,6.5,23.2,37.9,21.2,15.1,0.8,28.3
5,België1,Gembloux,Gembloux5,2015,,,48,P0,,1967,leem,wheat,wheat,"11,043,077,475",11.04307748,,12.3,90.1,,,,33.9,,216,721,2759,7,26.7,49.4,18.4,12.3,0.7,19.5
6,België1,Gembloux,Gembloux5,2015,,,54,P0,,1967,leem,wheat,wheat,"11,809,827,834",11.80982783,,12.3,96.3,,,,44,,362,848,2482,11.7,31.4,44.4,30.8,13.7,0.8,26.4
7,België1,Gembloux,Gembloux5,2015,,,2,P1,,1967,leem,wheat,wheat,"11,224,175,036",11.22417504,,12.3,91.5,98,98,,136.8,,346,912,2866,11.2,33.8,51.3,26.3,49.1,1.8,108.8
8,België1,Gembloux,Gembloux5,2015,,,5,P1,,1967,leem,wheat,wheat,"11,557,819,225",11.55781923,,12.3,94.3,,,,103.8,,306,879,2733,9.9,32.6,48.9,24.3,34.9,1.3,82.3
9,België1,Gembloux,Gembloux5,2015,,,13,P1,,1967,leem,wheat,wheat,"12,327,080,344",12.32708034,,12.3,100.5,,,,118.8,,285,715,2208,9.2,26.5,39.5,27.9,38.7,1.9,91.1
10,België1,Gembloux,Gembloux5,2015,,,43,P1,,1967,leem,wheat,wheat,"12,305,236,729",12.30523673,,12.3,100.3,,,,132.7,,314,640,2587,10.1,23.7,46.3,28.9,38.1,2.1,118.4
