ID,Year,Treatments,FertilizerP [kg/ha/yr],Manure [kg/ha],Pinput[kg/ha],maizegrain[kg/ha],maize straw[kg/ha],N concentration in maize grain[%],N concentration in maize straw[%],P concentration in maize grain[%],P concentration in maize straw[%],wheatgrain[kg/ha],wheat straw[kg/ha],N concentration in wheat grain[%],N concentration in wheat straw[%],P concentration in wheat grain[%],P concentration in wheat straw[%],Nuptake[kg/ha],Puptake[kg/ha],Psurplus[kg/ha],Oaccumulatedsurplus[kg/ha],SOC[g/kg],pH,OlsenP[mg/kg],TotalP[g/kg],CaCl2P[mg/kg],oxalateP[mg/kg],oxalateAl[mg/kg],oxalateCa[m/kg],oxalateFe[mg/kg],preci_sur[m/yr],totalp20-40[g/kg],puptakemaize[kg/ha],puptakewheat[kg/ha]
2,1990,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.89,5.7,13.9,0.45,0.001,96.92,1211.6,54.56,3540.8,0.79,0.455,0,0
3,1990,NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.89,5.7,13.9,0.45,0.001,96.92,1211.6,54.56,3540.8,0.79,0.455,0,0
4,1990,NK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.89,5.7,13.9,0.45,0.001,96.92,1211.6,54.56,3540.8,0.79,0.455,0,0
5,1990,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.89,5.7,13.9,0.45,0.001,96.92,1211.6,54.56,3540.8,0.79,0.455,0,0
6,1990,NPK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.89,5.7,13.9,0.45,0.001,96.92,1211.6,54.56,3540.8,0.79,0.455,0,0
7,1990,NPKM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.89,5.7,13.9,0.45,0.001,96.92,1211.6,54.56,3540.8,0.79,0.455,0,0
8,1990,HNPKM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.89,5.7,13.9,0.45,0.001,96.92,1211.6,54.56,3540.8,0.79,0.455,0,0
9,1990,NPKS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.89,5.7,13.9,0.45,0.001,96.92,1211.6,54.56,3540.8,0.79,0.455,0,0
10,1990,NPKMR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.89,5.7,13.9,0.45,0.001,96.92,1211.6,54.56,3540.8,0.79,0.455,0,0
11,1990,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.89,5.7,13.9,0.45,0.001,96.92,1211.6,54.56,3540.8,0.79,0.455,0,0
22,1991,M,0,0,0,NA,NA,1.14,0.778893449,0.31,0.27,NA,NA,2.34053834,0.59 ,0.47,0.13,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,0.8,NA,NA,NA
33,1992,M,0,0,0,3567,3402,1.14,0.78 ,0.31,0.33,NA,NA,2.34053834,0.59 ,0.47,0.13,NA,NA,NA,NA,NA,NA,15.6,0.58,NA,NA,NA,NA,NA,0.83,NA,NA,NA
54,1994,NPKMR,52.3943662,158,210.3943662,490.5,NA,,,NA,NA,1942.5,3150,,,NA,NA,NA,NA,NA,NA,8.062645012,6.4,21.5,0.77,NA,NA,NA,NA,NA,1.05,NA,NA,NA
65,1995,NPKMR,52.3943662,158,210.3943662,NA,NA,,,NA,NA,1498.5,2166,,,NA,NA,NA,NA,NA,NA,12.38979118,6.8,29.5,0.84,NA,NA,NA,NA,NA,0.48,NA,NA,NA
76,1996,NPKMR,52.3943662,158,210.3943662,NA,NA,,,NA,NA,1252.5,4117.5,,,NA,NA,NA,NA,NA,NA,12.99303944,5.7,39.7,1.09,NA,NA,NA,NA,NA,0.79,NA,NA,NA
178,2006,N,0,0,0,NA,0,1.18,1.17 ,0.26,0.17,0,0,2.687048765,0.71 ,0.32,0.05,NA,NA,NA,NA,7.753956739,3.94,6.4799,0.464180957,NA,NA,NA,NA,NA,0.84,0.411181423,NA,0
180,2006,NK,0,0,0,NA,0,1.16,1.18 ,0.23,0.15,NA,0,2.610480692,0.89 ,0.32,0.06,NA,NA,NA,NA,8.153643254,4.205,6.41825,0.4318,NA,NA,NA,NA,NA,0.84,0.3726,NA,NA
189,2007,N,0,0,0,0,0,NA,NA,NA,0.54,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8.059280742,4.19,4.79,0.4189,0.001,75.78,1977.8,73.4,3619.2,0.64,0.3286,NA,NA
191,2007,NK,0,0,0,NA,0,NA,NA,NA,0.118,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,9.134280742,4.3,2.6,0.4125,NA,NA,NA,NA,NA,0.64,0.3511,NA,NA
200,2008,N,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,7.744199536,4.4,3.4,0.498,NA,NA,NA,NA,NA,0.6,0.275,NA,NA
202,2008,NK,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,9.305104408,4.1,3.9,0.416,NA,NA,NA,NA,NA,0.6,0.453,NA,NA
211,2009,N,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,7.127027691,3.88,4.021541,0.442196575,NA,NA,NA,NA,NA,0.51,0.422838679,NA,NA
213,2009,NK,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,7.82902311,4,2.381007,0.4042841,NA,NA,NA,NA,NA,0.51,0.370195839,NA,NA
222,2010,N,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8.204843605,4.115,3.878125,0.442196575,NA,NA,NA,NA,NA,0.24,NA,NA,NA
224,2010,NK,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8.776873451,4.225,3.736375,0.4042841,NA,NA,NA,NA,NA,0.24,NA,NA,NA
233,2011,N,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,7.196633259,3.88,4.021541,0.442196575,NA,NA,NA,NA,NA,0.32,0.422838679,NA,NA
235,2011,NK,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,7.898628679,4,2.381007,0.4042841,NA,NA,NA,NA,NA,0.32,0.370195839,NA,NA
241,2011,NPKMR,52.3943662,158,210.3943662,NA,NA,7.1215953,1.56 ,0.68,0.23,1522.576125,3109.798339,2.957112417,0.50 ,0.53,0.09,NA,NA,NA,NA,15.45940059,6.065,168.376135,1.840501376,NA,NA,NA,NA,NA,0.32,1.104212802,NA,10.86847197
244,2012,N,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.134692731,4.187,4.79,0.418903999,NA,NA,NA,NA,NA,0.54,0.328626135,NA,NA
246,2012,NK,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.209692191,4.3025,2.6,0.412460008,NA,NA,NA,NA,NA,0.54,0.351118258,NA,NA
252,2012,NPKMR,52.3943662,158,210.3943662,NA,NA,6.251056603,1.14 ,0.68,0.25,1472.828362,2461.141684,2.571483175,0.38 ,0.51,0.14,NA,NA,NA,NA,14.948769,6.071,180.3002,1.851119775,NA,NA,NA,NA,NA,0.54,1.032802945,NA,10.957023
255,2013,N,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.714661888,4.085,2.24,0.337396824,0.001,110.9,1866,62.78,2471.2,0.22,0.215524337,NA,NA
257,2013,NK,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.526617301,3.995,1.9525,0.378364035,0.182809493,90.88,1645.4,54.12,2765.2,0.22,0.229954873,NA,NA
266,2014,N,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.860394525,3.7925,2.63625,0.570866467,NA,NA,NA,NA,NA,0.56,0.446490798,NA,NA
268,2014,NK,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.717021975,3.92,2.3275,0.417019802,NA,NA,NA,NA,NA,0.56,0.433853377,NA,NA
277,2015,N,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.359711463,3.915,3.0325,0.446578242,NA,NA,NA,NA,NA,1.58,0.472640677,NA,NA
279,2015,NK,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.268148259,4.1325,2.2625,0.45567557,NA,NA,NA,NA,NA,1.58,0.368384616,NA,NA
285,2015,NPKMR,52.3943662,158,210.3943662,NA,NA,5.942180745,1.02 ,0.55,0.26,1552.062923,4118.287288,2.256244201,0.49 ,0.45,0.18,NA,NA,NA,NA,13.29958985,5.7525,190.535,1.363484868,NA,NA,NA,NA,NA,1.58,1.013893539,NA,14.39720027
288,2016,N,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.517109712,3.92,2.943333333,0.510290149,NA,NA,NA,NA,NA,0.7,0.41476908,NA,NA
290,2016,NK,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.273821407,4.115,4.11,0.480784094,NA,NA,NA,NA,NA,0.7,0.389626756,NA,NA
296,2016,NPKMR,52.3943662,158,210.3943662,NA,NA,7.310000175,1.82 ,0.49,0.28,1289.39552,3673.037964,2.664640175,0.39 ,0.45,0.2,NA,NA,NA,NA,14.69096587,5.878333333,251.5133333,2.08892419,NA,NA,NA,NA,NA,0.7,0.891477024,NA,13.14835577
299,2017,N,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.353332169,-0.353332169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,0.222723766,0.130608403
301,2017,NK,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.740765945,-0.740765945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,0.562155147,0.178610798
307,2017,NPKMR,52.3943662,158,210.3943662,NA,NA,,,NA,NA,1526.465875,4663.310363,2.605414696,0.31 ,0.488731503,0.186296472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,16.1479023
310,2018,N,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.353332169,-0.353332169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,0.222723766,0.130608403
312,2018,NK,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.740765945,-0.740765945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,0.562155147,0.178610798
318,2018,NPKMR,52.3943662,158,210.3943662,NA,NA,,,NA,NA,1709.17642,3139.572209,2.546083868,0.46 ,0.473866178,0.153546965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,12.91992683
321,2019,N,0,0,0,NA,NA,#REF!,#REF!,NA,NA,NA,NA,#REF!,#REF!,NA,NA,NA,0.353332169,-0.353332169,NA,8.204210813,4.129088235,3.919599431,0.440741551,NA,NA,NA,NA,NA,NA,NA,0.222723766,0.130608403
323,2019,NK,0,0,0,NA,NA,#REF!,#REF!,NA,NA,NA,NA,#REF!,#REF!,NA,NA,NA,0.740765945,-0.740765945,NA,8.835515273,4.222058824,3.352302294,0.42487093,NA,NA,NA,NA,NA,NA,NA,0.562155147,0.178610798
129,2001,HNPKM,78.5915493,237,315.5915493,7615.5,6816,1.17,1.07 ,0.3,0.11,1126.5,2821.5,2.2,1.12 ,0.47,0.14,218.41635,39.58875,276.0027993,2899.507167,15.4350348,5.6,227.4,1.83,NA,NA,NA,NA,NA,0.62,NA,30.3441,9.24465
30,1992,HNPKM,78.5915493,237,315.5915493,5419.5,6144,1.23,1.82 ,0.32,0.38,2557.5,6429.75,2.590727349,0.70 ,0.48,0.15,289.5638463,59.298225,256.2933243,530.7517236,11.57,6.1,22.9,0.73,NA,NA,NA,NA,NA,0.83,NA,37.3776,21.920625
