Source,ID,ID_other,Author,Location,pH,som[mg/kg],clay[%],Fe[mg/kg],Al[mg/kg],pox[mg/kg],polsen[mg/kg]
QZ_inve,2,,,,8.42,14.54,0.54,754.12,479.48,511.49,7.69
QZ_inve,3,,,,8.9,9.03,0.31,640.78,410.28,378.74,28.75
QZ_inve,9,,,,8.43,13.74,15.64,1060.14,795.88,350.46,6.5
QZ_inve,13,,,,8.4,13.57,0.69,718.07,471.16,421.06,8.6
QZ_inve,20,,,,8.66,14.21,12.36,1173.27,812.43,516.53,21.06
QZ_inve,22,,,,8.7,15.25,9.82,1123.85,800.06,596.3,12.52
QZ_inve,23,,,,8.65,13.61,8.57,910.29,566.63,237.13,4.12
QZ_inve,48,,,,8.78,3.76,0.25,431.01,235.26,178.38,2.51
QZ_inve,55,,,,8.08,30.61,20.28,1437.4,934.96,1079.82,95.1
QZ_inve,56,,,,8.67,17.35,15.59,1272.96,995.28,564.51,7.9
QZ_inve,58,,,,8.38,14.82,12.18,1329.36,886,624.58,10.7
QZ_inve,62,,,,8.5,17.28,15.19,1226.36,899.46,427.65,9.3
QZ_inve,63,,,,8.49,14.77,13.83,1155.55,806.74,392.76,7.06
QZ_inve,64,,,,8.55,13.3,2.36,843.23,543.53,474.17,36.91
QZ_inve,67,,,,8.29,10.57,14.07,581.72,408.92,401.85,13.57
QZ_inve,75,,,,7.94,22.13,0.14,1185.04,892.83,587.93,26.15
QZ_inve,82,,,,8.34,8.67,20.66,613.04,380.54,266.85,4.33
QZ_inve,83,,,,8.43,22.85,2.9,1345.29,969.97,535.89,21.6
QZ_inve,85,,,,8.59,11.73,0.19,1019.19,683.22,431,18.28
QZ_inve,89,,,,8.5,11.47,0.17,800.39,527.84,486.49,17.91
QZ_inve,90,,,,8.58,9.42,6.04,756.54,436.58,284.37,3.49
QZ_inve,102,,,,8.26,16.95,18.64,1287.24,898.45,395.37,7.67
QZ_inve,111,,,,8.47,17.7,13.88,1478.23,1076.37,445.73,8.18
QZ_inve,114,,,,8.39,18.56,1.53,1266.02,826.38,863.32,21.62
QZ_inve,117,,,,8.36,12.25,0.65,818.17,559.65,475.17,6.36
QZ_inve,126,,,,8.21,14.11,0.49,895.64,630.99,456.97,22.25
QZ_inve,130,,,,8.37,9.69,10.27,726.83,490.77,289.22,13.66
QZ_inve,136,,,,8.37,17.97,14.73,1290.06,850.41,614.51,21.46
QZ_inve,141,,,,8.72,14.71,2.2,1288.95,964.08,386.82,7.83
QZ_inve,145,,,,8.52,13.31,0.87,790.51,559.76,492.49,6.01
QZ_inve,157,,,,8.37,13.35,1.06,795.25,582.95,466.54,5.17
QZ_inve,160,,,,8.29,12.21,0.94,793.05,543.06,437.42,7.83
QZ_inve,163,,,,8.3,10.82,12.07,746.35,477.43,518.87,19.22
