ID_new,longtitude,latitude,clay_missing1
"1",109.73,40.52,"32"
"2",111.39,40.06,"19"
"3",110.87,38.51,"22"
"4",110.44,36.14,"19"
"5",110.75,34.65,"12"
"6",110.28,34.61,"19"
"7",111.16,34.81,"21"
"8",113.66,34.86,"12"
"9",87.78,44.59,"5"
"10",87.78,44.59,"5"
"11",87.78,44.59,"5"
"12",87.78,44.59,"5"
"13",87.78,44.59,"5"
"17",111.87,26.75,"48"
"18",111.87,26.75,"48"
"19",111.87,26.75,"48"
"20",111.87,26.75,"48"
"21",111.87,26.75,"48"
"22",111.87,26.75,"48"
"25",118.7965,32.0584,"24"
"26",113.0148,25.7706,"48"
"27",112.3033,29.5806,"21"
"28",113.0323,22.4588,"20"
"29",120.2745,32.0149,"21"
"30",118.75,36.92,"18"
"31",118.75,36.92,"18"
"32",118.75,36.92,"18"
"33",118.75,36.92,"18"
"34",106.31,28.21,"20"
"35",121.77,42.15,"23"
"36",121.77,42.15,"23"
"37",121.77,42.15,"23"
"38",120.18,32.68,"23"
"39",120.18,32.68,"23"
"46",119.34,26.13,"27"
"47",119.3,26.14,"24"
"48",119.34,26.13,"27"
"49",119.34,26.13,"27"
"50",119.34,26.13,"27"
"51",119.35,26.09,"21"
"52",119.35,26.09,"21"
"53",119.35,26,"50"
"54",119.35,26.03,"4"
"55",119.33,26.02,"21"
"56",119.29,26.02,"21"
"57",117.07,28.26,"47"
"58",117.07,28.26,"47"
"59",117.07,28.26,"47"
"60",117.07,28.26,"47"
"61",117.07,28.26,"47"
"62",117.07,28.26,"47"
"63",117.07,28.26,"47"
"64",117.07,28.26,"47"
"65",121.98,41.3,"56"
"66",121.98,41.3,"56"
"67",121.98,41.3,"56"
"68",121.98,41.3,"56"
"69",121.98,41.3,"56"
"97",123.57,41.83,"46"
"98",102.73,24.7,"21"
"99",102.77,24.83,"21"
"100",102.73,24.7,"21"
"101",102.77,24.83,"21"
"118",119.62,29.01,"21"
"119",119.62,29.01,"21"
"120",119.62,29.01,"21"
"121",115.65,39.02,"9"
"122",115.65,39.02,"9"
"123",115.65,39.02,"9"
"138",100.23,26.92,"18"
"139",115.81,27.48,"24"
"140",123.57,41.83,"46"
"141",115.79,39.75,"23"
"142",112.56,38.73,"25"
"143",86.73,45.32,"24"
"144",109.37,29.33,"23"
"145",112.72,26.71,"21"
"146",113,26.72,"20"
"147",112.58,25.93,"21"
"148",112.59,25.76,"24"
"149",134.13,47.68,"24"
"150",109.37,29.33,"23"
"151",112.72,26.71,"21"
"152",113,26.72,"20"
"153",112.58,25.93,"21"
"154",112.59,25.76,"24"
"166",110.3,19.06,"24"
"167",110.29,19.15,"24"
"168",109.7,19.71,"27"
"169",109.92,19.74,"27"
"170",109.96,19.35,"25"
"171",110.19,18.85,"24"
"172",109.7,18.55,"27"
"173",109.55,18.75,"25"
"174",109.69,19.07,"46"
"175",112.32,25.62,"4"
"176",112.32,25.62,"4"
"177",112.32,25.62,"4"
"186",106.62,29.72,"20"
"187",106.56,29.68,"40"
"188",106.62,29.72,"20"
"189",106.56,29.68,"40"
"198",104.08,30.63,"21"
"199",104.09,30.63,"20"
"200",104,30.56,"21"
"201",104,30.56,"21"
"202",103.99,30.56,"21"
"203",104,30.56,"21"
"204",107,30.56,"46"
"205",103.65,30.53,"21"
"206",103.63,30.46,"21"
"207",104.5,30.34,"21"
"208",104.62,30.52,"21"
"224",,,
"225",,,
"226",,,
"227",,,
"228",,,
"229",,,
"230",,,
"231",,,
"237",102.68,24.9,"0"
"238",102.68,24.9,"0"
"239",102.68,24.9,"0"
"240",102.68,24.9,"0"
"241",102.68,24.9,"0"
"265",102.67,25.02,"21"
"266",102.65,24.96,"0"
"267",118.54,37.52,"17"
"268",118.54,37.52,"17"
"269",118.54,37.52,"17"
"270",118.54,37.52,"17"
"279",120.57,33.4,"25"
"280",120.57,33.4,"25"
"281",120.57,33.4,"25"
"282",120.57,33.4,"25"
"283",120.57,33.4,"25"
"284",120.57,33.4,"25"
"285",120.57,33.4,"25"
"286",120.57,33.4,"25"
"287",120.57,33.4,"25"
"288",120.57,33.4,"25"
"294",120.15,30.33,"21"
"295",120.15,30.33,"21"
"296",120.15,30.33,"21"
"297",120.15,30.33,"21"
"298",120.15,30.33,"21"
"313",102.5,29.6,"21"
"314",102.85,30.67,"22"
"315",104.68,31.48,"21"
"319",118.73,32.21,"0"
"320",124.85,45.18,"25"
"321",117.06,30.54,"21"
"322",111.47,27.24,"21"
"323",121.57,29.92,"24"
"324",120.68,28.03,"7"
"344",107.67,35.2,"21"
"345",107.67,35.2,"21"
"346",107.67,35.2,"21"
"347",107.67,35.2,"21"
"348",107.67,35.2,"21"
"349",120.27,31.52,"23"
"350",120.26,31.42,"0"
"351",120.31,31.17,"5"
"352",120.27,31.52,"23"
"353",120.26,31.42,"0"
"354",120.31,31.17,"5"
"355",120.27,31.52,"23"
"356",120.26,31.42,"0"
"357",120.31,31.17,"5"
"382",115.79,39.75,"23"
"383",115.79,39.75,"23"
"384",115.79,39.75,"23"
"385",115.79,39.75,"23"
