ID_new,ID,Author,year,title,longtitude,latitude,longtitude_temp,latitude_temp,province,site,depth,annual mean precipitation,annual mean temperature,landuse type,field type,soil type,soil_ty temp,soilty_usda,reference,ph,ph_extractant,som,som_unit,soc,soc_unit,tc,tc_unit,clay,clay_hwsd,silt,sand,caco3[g/kg],Alox[mg/kg],Feox[mg/kg],Pox[mg/kg],ref,pcacl2,pcacl2_unit,polsen[mg/kg],ptotal[g/kg],Qmax[mg/kg],Qmax_unit,KL[L/mg],KL_unit,
1,1,Beigang Li,2010,?????????????????????,109.73,40.52,,,Neimenggu,Baotou,,,,sediment,,,,other,,8.47,h2o,4.1,g/kg,,,,,,,,,,,,,,,,,0.394,322,mg/kg,0.195,L/mg,
2,2,Beigang Li,2010,?????????????????????,111.39,40.06,,,Neimenggu,lamawan,,,,sediment,,,,other,,8.53,h2o,4.5,g/kg,,,,,,,,,,,,,,,,,0.413,444,mg/kg,0.202,L/mg,
3,3,Beigang Li,2010,?????????????????????,110.87,38.51,,,Shanxi,zhangjiawan,,,,sediment,,,,other,,8.38,h2o,3.8,g/kg,,,,,,,,,,,,,,,,,0.339,223,mg/kg,0.491,L/mg,
4,4,Beigang Li,2010,?????????????????????,110.44,36.14,,,Shanxi,hukou,,,,sediment,,,,other,,8.31,h2o,4.8,g/kg,,,,,,,,,,,,,,,,,0.468,507,mg/kg,0.079,L/mg,
5,5,Beigang Li,2010,?????????????????????,110.75,34.65,,,Shanxi,dayudu,,,,sediment,,,,other,,8.36,h2o,4.2,g/kg,,,,,,,,,,,,,,,,,0.345,351,mg/kg,0.25,L/mg,
6,6,Beigang Li,2010,?????????????????????,110.28,34.61,,,Shaanxi,tongguan,,,,sediment,,,,other,,8.41,h2o,5.2,g/kg,,,,,,,,,,,,,,,,,0.437,485,mg/kg,0.273,L/mg,
7,7,Beigang Li,2010,?????????????????????,111.16,34.81,,,Henan,sanmenxia ,,,,sediment,,,,other,,8.38,h2o,3.3,g/kg,,,,,,,,,,,,,,,,,0.32,222,mg/kg,0.901,L/mg,
8,8,Beigang Li,2010,?????????????????????,113.66,34.86,,,Henan,huayuankou,,,,sediment,,,,other,,8.41,h2o,5.6,g/kg,,,,,,,,,,,,,,,,,0.457,629,mg/kg,0.264,L/mg,
9,9,Bin Wang,2013,???????????????????,87.78,44.59,,,Xinjiang,Ulumuqi,0-20,,,cropland,,???,,Aridisols,,9.16,h2o,12.7,g/kg,,,,,,,,,,,,,,,,4.27,0.58,416.7,mg/kg,0.2156,L/mg,
10,10,Bin Wang,2013,???????????????????,87.78,44.59,,,Xinjiang,Ulumuqi,0-20,,,cropland,,???,,Aridisols,,9.62,h2o,12.48,g/kg,,,,,,,,,,,,,,,,22.39,0.8,244.6,mg/kg,0.1753,L/mg,
