ID,Name,CountyName,LAT,LON,SoilMaterials,parent_material,UseType,Landuse_code,HistoricalSoilType,CropType,pH,olsenP[mg/kg],CaCl2P[mg/l],oxalateFe[mg/kg],oxalateAl[mg/kg], oxalateP[mg/kg],TotalP[g/kg],SOM[g/kg],ClayContent[%], oxalateCa[mg/kg],Premoval[kg/ha],Pinput[kg/ha],,
2,QY,茅竹镇,111.81,26.54,红砂岩,red sandstone,fruit,2,荒地,橘子,4.87,42.91,0.390552995,1864.356,1484.144,86.19,0.479269976,9.475884266,15.8064,23.436,8.18767,80.68,45.18726648,6.152889513
3,QY,茅竹镇,111.81,26.54,红砂岩,red sandstone,paddy,1,长期水田,水稻,7.95,0.47,0.064132104,4660.904,1328.54,194.062,0.554069059,27.71910503,4.445,12.816,6.26022,150.29,67.16406044,9.320556969
4,QY,茅竹镇,111.83,26.5,红砂岩,red sandstone,forest,3,,,4.23,12.125,0.667050691,2090.136,1703.8,69.534,0.47821926,16.13936587,12.57433333,23.06,8.2393,56.06,51.42731319,4.361558322
5,QY,茅竹镇,111.84,26.49,红砂岩,red sandstone,forest,3,,,4.85,2.31,0.38671275,3436.236,1321.196,28.854,0.315672783,6.72652887,6.6,24.268,8.74925,53.07,56.08829396,1.659480308
7,QY,茅竹镇,111.79,26.51,红砂岩,red sandstone,forest,3,长期水田,樟树苗,6.03,2.915,0.317588326,2064.068,1204.232,111.858,0.603405003,11.9361041,14.9075,21.4,9.37673,65.77,41.58748626,8.676462332
8,,茅竹镇,111.78,26.48,板页岩,slate shale,upland,2,长期油茶,西瓜,5.86,14.575,0.398233487,1420.756,952.252,17.122,0.21152965,6.241613387,7.357666667,19.508,8.83502,53.46,30.99785989,1.781808753
10,,茅竹镇,111.76,26.54,板页岩,slate shale,upland,2,长期旱地,西瓜,8.03,1.485,0.064132104,3512.448,1039.064,229.886,0.730568825,24.35874785,8.2945,10.636,18.0517,114.74,51.34314286,14.44336479
12,QY,茅竹镇,111.78,26.55,红砂岩,red sandstone,forest,3,,,5.03,14.49,0.102534562,1840.68,1653.064,9.046,0.16756989,6.070556782,8.735,24.688,13.492,88.42,48.22433516,0.605102073
13,QY,茅竹镇,111.79,26.54,红砂岩,red sandstone,forest,3,,,4.62,21.69,0.198540707,1734.112,1794.824,7.422,0.308539617,8.461999197,28.1028,21.884,8.5991,93.22,49.99898901,0.478848392
14,,茅竹镇,111.8,26.58,第四纪红土,red soil of quantenary reath,forest,3,,,4.81,34.935,0.079493088,998.972,1096.02,50.702,0.226864022,9.143964774,6.4155,21.4,11.421,34.46,,
15,,茅竹镇,111.81,26.57,第四纪红土,red soil of quantenary reath,fruit,2,茶园,柚子,5.15,19.895,0.355990783,2110.32,1667.908,36.018,0.219231371,12.08089307,5.4895,39.42,0.42551,1.69,,
16,QY,观音滩镇,111.86,26.51,红砂岩,red sandstone,forest,3,,,4.85,12.91,0.31374808,537.952,468.892,17.762,0.056390335,6.268553965,2.618666667,21.06,8.44823,56.71,13.8202967,4.145842555
17,,观音滩镇,111.88,26.49,第四纪红土,red soil of quantenary reath,fruit,2,长期水田,橘子,5.6,3.96,0.183179724,1680.6,1244.952,56.706,0.492730202,12.01567989,8.417,17.636,14.9268,36.47,38.94674176,4.696736425
18,QY,观音滩镇,111.87,26.48,红砂岩,red sandstone,forest,3,,,4.46,4.2,0.398233487,1847.88,1702.976,15.994,0.410979965,9.019840704,20.787,27.816,8.07486,43.51,49.24846703,1.047617347
20,,观音滩镇,111.89,26.46,石灰岩,limestone,upland,2,长期水田,花生,5.79,3.06,0.55952381,3455.328,1006.304,110.454,0.367287438,14.775923,5.4555,20.548,0.756357,50.87,50.20314286,7.097229487
21,,观音滩镇,111.91,26.49,第四纪红土,red soil of quantenary reath,forest,3,荒地,板栗,4.39,27.725,0.332949309,2142.48,2194.488,35.642,0.240970268,11.91427758,8.762666667,40.412,4.58606,42.88,,
22,,观音滩镇,111.92,26.5,第四纪红土,red soil of quantenary reath,forest,3,,,5.12,64.165,0.202380952,1022.32,1009.44,14.006,0.18930353,10.17585858,5.737333333,21.396,2.52565,49.89,,
23,,观音滩镇,111.94,26.49,河流冲积物,river alluvium,forest,3,,,5.17,27.315,0.152457757,3022.656,2170.92,146.282,0.493664335,11.29128592,5.117,31.496,1.53762,49.54,,
24,,观音滩镇,111.92,26.47,板页岩,slate shale,paddy,1,长期水田,早稻,7.82,10.81,0.079493088,6437.456,1297.412,118.338,0.502128868,23.64846363,4.100333333,11.384,4.2952,24.79,82.42751648,4.631165661
25,,八宝镇,112.08,26.34,河流冲积物,river alluvium,upland,2,水田,生姜,5.51,2.62,0.187019969,2271.888,996.776,528.106,0.776652086,7.106005093,0.296,17.592,6.33354,39.82,39.45348352,43.17914643
26,,八宝镇,112.1,26.37,第四纪红土,red soil of quantenary reath,fruit,2,长期旱地,橘子,4.91,25.25,0.202380952,2242.312,1590.156,55.254,0.337163351,11.10249543,16.20166667,25.572,10.2448,94.5,,
27,,八宝镇,112.1,26.34,第四纪红土,red soil of quantenary reath,fruit,2,水田,橙子,5.26,20.695,0.41359447,2297.176,1336.292,119.598,0.456056381,12.53628182,10.58166667,26.544,9.01834,49.12,46.20842308,8.349127157
28,,八宝镇,112.12,26.31,板页岩,slate shale,forest,3,,,4.5,43.64,0.31374808,519.568,853.464,5.298,0.167286043,10.83403673,2.309166667,15.988,5.78326,32.22,,
29,,八宝镇,112.1,26.31,板页岩,slate shale,upland,2,长期旱地,大豆,5.3,12.69,0.04109063,1712.424,1029.552,123.302,0.471380168,11.0460939,2.9045,21.524,7.15045,49.12,35.08857692,11.33555197
30,,八宝镇,112.08,26.31,第四纪红土,red soil of quantenary reath,upland,2,长期旱地,大豆,4.34,33.4,0.137096774,1977.112,1385.696,284.13,0.746057376,11.52938763,7.853333333,25.112,0.708433,0.26,44.30078571,20.6892129
31,,八宝镇,112.08,26.31,板页岩,slate shale,paddy,1,长期水田,早稻,5.65,27.495,0.102534562,2723.08,1392.876,219.286,0.545061498,14.81499319,2.502333333,22.96,0.708433,0.26,51.09929121,13.84313122
32,QY,八宝镇,112.06,26.33,红砂岩,red sandstone,forest,3,,,4.71,23.72,0.298387097,1623.016,1360.312,59.858,0.353075775,9.837391766,8.887666667,26.144,4.04953,55.64,40.65106044,4.749945524
33,QY,八宝镇,112.06,26.36,红砂岩,red sandstone,fruit,2,水田,桂花，3年卖苗,5.99,32.65,0.217741935,1908.556,656.82,228.134,0.485864119,10.20169608,4.632166667,16.172,7.13203,63.38,29.67183242,24.801843
34,,八宝镇,112.07,26.36,河流冲积物,river alluvium,upland,2,长期旱地,甘蔗,4.62,12.185,0.38671275,2349.232,860.484,517.83,0.714396152,8.16840623,0.456833333,17.476,9.53997,61.21,37.52305495,44.51714705
35,,黄泥塘镇,112.06,26.48,板页岩,slate shale,fruit,2,水田,橘子,4.93,9.805,0.125576037,2538.66,1204.424,142.642,0.44856346,11.39995751,7.258333333,28.096,27.0867,44.24,45.82860714,10.04035498
36,,黄泥塘镇,112.13,26.46,板页岩,slate shale,forest,3,,,5.22,10.59,0.071812596,2107.348,935.836,40.006,0.403869542,9.906279927,2.792,20.584,10.9463,56.01,,
37,,黄泥塘镇,112.11,26.49,紫色页岩,purple shale,upland,2,长期旱地,油菜,5.76,34.865,0.064132104,1297.556,524.54,87.134,0.218991201,10.82525985,1.366166667,15.992,11.4217,54.06,21.67262912,12.96923496
39,,黄泥塘镇,112.16,26.51,河流冲积物,river alluvium,upland,2,长期旱地,油菜,5.34,40.34,0.275345622,1501.744,626.372,95.598,0.226615242,12.91085139,1.691833333,17.504,1.05885,29.51,25.45404396,12.11519261
40,,黄泥塘镇,112.18,26.53,河流冲积物,river alluvium,paddy,1,长期水田,水稻,5.66,5.26,0.033410138,2646.588,610.108,125.446,0.359918326,19.17539768,2.244666667,16.812,3.781,13.24,35.36309615,11.44313027
41,,黄泥塘镇,112.21,26.53,第四纪红土,red soil of quantenary reath,forest,3,,,5.19,5.48,0.044930876,1140.62,1087.676,18.05,0.242005715,7.551241056,2.713,15.512,4.99415,29.28,,
44,,黄泥塘镇,112.1,26.42,第四纪红土,red soil of quantenary reath,forest,3,,,4.32,58.62,0.021889401,1667.692,1431.564,11.002,0.137595632,7.967569204,8.733333333,33.516,12.1036,66.1,,
45,,黄泥塘镇,112.11,26.39,第四纪红土,red soil of quantenary reath,forest,3,,,4.21,41.56,0.033410138,1422.508,1538.076,10.766,0.270725737,7.584716021,38.71716667,21.28,14.1419,59.3,,
46,,进宝塘镇,112.13,26.39,板页岩,slate shale,fruit,2,荒地,橘子,7.29,35.98,0.44047619,1459.88,761.048,50.738,0.189889492,12.56581386,7.01675,15.98,26.9553,37,,
47,,进宝塘镇,112.13,26.41,板页岩,slate shale,fruit,2,荒地,橘子,4.89,18.795,0.056451613,1788.568,1225.084,40.79,0.29294554,7.794740892,5.017333333,20.4,5.52641,36.48,,
48,,进宝塘镇,112.13,26.43,石灰岩,limestone,upland,2,长期旱地,油菜,7.57,36.02,0.021889401,1362.048,616.592,117.786,0.464571087,11.10776231,4.617833333,14.66,16.4693,55.75,24.01868132,15.81913818
49,,进宝塘镇,112.1,26.43,石灰岩,limestone,paddy,1,长期水田,早稻,8.02,12.55,0.110215054,3568.712,1034.112,139.782,0.524465135,28.46268929,8.760666667,12.308,4.14679,83.57,51.75026923,8.713185151
50,,进宝塘镇,112.11,26.45,第四纪红土,red soil of quantenary reath,forest,3,,,5.55,19.65,0.137096774,1477.968,1112.112,10.098,0.181908861,9.851566195,8.740833333,15.652,9.06024,63.3,,
51,,进宝塘镇,112.11,26.44,第四纪红土,red soil of quantenary reath,forest,3,,,4.9,20.57,0.267665131,2354.364,1602.168,15.766,0.130483882,9.225604104,8.961666667,29.284,8.38352,69.24,,
53,,进宝塘镇,112.06,26.46,第四纪红土,red soil of quantenary reath,upland,2,长期旱地,花生,5.43,14.765,0.332949309,1001.224,827.84,23.15,0.286603925,10.03494441,11.70133333,14.988,0.221597,40.69,24.8595,3.003979137
54,,三口塘镇,111.81,26.41,石灰岩,limestone,upland,2,长期水田,油菜,6.79,19.87,0.048771121,1615.472,1105.624,168.802,0.626524494,13.35057964,8.524666667,13.912,0.597376,34.71,35.68585714,15.25877825
57,QY,三口塘镇,111.82,26.44,红砂岩,red sandstone,forest,3,,,4.41,25.905,0.091013825,2341.212,1400.332,13.75,0.219581651,11.83362682,19.05283333,26.716,7.86724,38.99,47.83314011,0.927282604
58,QY,三口塘镇,111.83,26.43,红砂岩,red sandstone,forest,3,,,4.81,76.09,0.025729647,1265.928,1194.848,8.434,0.130210984,6.375923295,27.45316667,12.596,8.34944,40.44,34.28077473,0.793635845
61,QY,三口塘镇,111.8,26.46,红砂岩,red sandstone,forest,3,,,4.85,20.295,0.183179724,2006.72,1571.232,20.03,0.308016825,11.47156468,16.52316667,28.488,6.10397,22.79,48.13314286,1.342378648
62,,三口塘镇,111.79,26.45,板页岩,slate shale,upland,2,长期旱地,红薯,8.41,46.11,0.244623656,1386.284,815.576,163.254,0.634816217,12.10329992,13.947,12.456,5.65024,13.31,28.06168956,18.76671771
65,,大忠桥镇,111.85,26.39,板页岩,slate shale,paddy,1,长期水田,早稻,6.99,3.635,0.037250384,7600.404,1409.116,237.822,0.627024563,27.86753941,11.22783333,20.408,3.41275,54.02,94.95913462,8.078925161
67,,大忠桥镇,111.89,26.36,板页岩,slate shale,fruit,2,长期果园,橘子，套种西瓜,4.41,5.69,0.048771121,2599.36,1439.312,62.238,0.389463582,11.16017039,15.54283333,22.176,4.88085,55.33,,
68,,大忠桥镇,111.91,26.36,板页岩,slate shale,forest,3,,,5.19,43.635,0.002688172,1784.376,1213.764,29.658,0.227272295,5.522163968,12.58366667,22.064,4.83245,48.34,,
69,,大忠桥镇,111.88,26.34,板页岩,slate shale,forest,3,旱地,板栗,4.39,97.78,0.117895545,2052.768,1752.136,197.59,0.536746123,10.97293167,17.66766667,22.744,4.92713,53.15,,
70,,大忠桥镇,111.89,26.35,河流冲积物,river alluvium,paddy,1,长期水田,早稻,7.73,35.885,0.033410138,6264.95,1072.014,164.704,0.507577456,27.4606448,6.598333333,30.804,4.77514,58.03,76.55270742,6.940358398
71,,大忠桥镇,111.94,26.39,河流冲积物,river alluvium,fruit,2,旱地,橙子,6.53,13.73,0.117895545,2321.678,630.994,301.732,0.492828366,7.947831095,0.919,37.792,1.54042,25.78,,
