ID,Author,Year_paper,Title,LontitudeE,LatitudeN,Province,Site,Rainfall[mm/year],Year_experiment,FieldType,Treatment,SamplingDepth[cm],SoilType,Soil_type_FAO1,Soil_type_FAO2,pH_h2o[],BulkDensity[g/cm3],SOM[g/kg],CEC[cmol/kg],clay[%],Silt[%],Sand[%],Alox[mg/kg],Feox[mg/kg],Fe[mmol/kg],Al[mmol/kg],Extractant,CaCO3[g/kg],CaM3[mmol/kg],WaterP[mg/kg],CaCl2P[mg/kg],OlsenP[mg/kg],OxalateP[mg/kg],BrayP[mg/kg],CALP[mg/kg],M3P[mg/kg],TotalP[mg/kg],Qmax,Qmax_Unit,KL,KLNEW,KL_Unit,KL_UnitNEW,EPC0[mg/L],MBC,MBC_eq,MBC_unit,PBC,PBC_eq,PBC_unit,MPBC,MPBC_eq,MPBC_unit,DPS[%],DPS_eq,DPS_unit,PAC,PAC_eq,PAC_unit,PSI,PSI_eq,EPC0,
1,Junhong Bai,2017,"Phosphorus sorption-desorption and effects of temperature, pH and salinity on phosphorus sorption in marsh soils from coastal wetlands with different flooding conditions",119.19,37.81,,Yellow River Delta of China,551.6,2002,wetland,Tidal flooding Wetland,0-10,coastal saline soil.,Solonchaks,Solonchaks,8.8,,10.7,,6.6,49.5,43.9,,,,,,,,,,57.1,,,,,696,217.98,mg/kg,1.17,0.854700855,mg/L,L/mg,0.03,,,,,,,,,,,,,,,,,,,
2,Junhong Bai,2017,"Phosphorus sorption-desorption and effects of temperature, pH and salinity on phosphorus sorption in marsh soils from coastal wetlands with different flooding conditions",119.02,37.79,,Yellow River Delta of China,551.6,2002,wetland,Freshwater floodingwetland,0-10,coastal saline soil.,Solonchaks,Solonchaks,8.3,,24.1,,4.8,59.1,36.1,,,,,,NA,,,,72,,,,,658,255.93,mg/kg,0.71,1.408450704,mg/L,L/mg,0.02,,,,,,,,,,,,,,,,,,,
3,Junhong Bai,2017,"Phosphorus sorption-desorption and effects of temperature, pH and salinity on phosphorus sorption in marsh soils from coastal wetlands with different flooding conditions",119.38,37.63,,Yellow River Delta of China,551.6,2002,wetland,seasonal flooding wetland,0-10,coastal saline soil.,Solonchaks,Solonchaks,8.9,,8.6,,1.9,32.3,65.9,,,,,,,,,,50.7,,,,,734,235.16,mg/kg,2.82,0.354609929,mg/L,L/mg,0.14,,,,,,,,,,,,,,,,,,,
4,"Wang, Lingqing",2014,Effects of exogenous rare earth elements on phosphorus adsorption and desorption in different types of soils,116.21,40.05,beijing,"Fangshan district, Beijing city",,,farmland,,0-25,Cinnamon soil,Luvisols,Luvisols,8.1,,19.5,68,22.84,40.39,36.77,869.92,1012.87,18.08696429,32.21925926,acid ammonium oxalate,30.22,,,,21.56,,,,,760,459.14,mg/kg,0.101,0.101,ug/mL,L/mg,,46.37314,Smax*KL,mL/g,,,,,,,,,,,,,,,,
5,"Wang, Lingqing",2014,Effects of exogenous rare earth elements on phosphorus adsorption and desorption in different types of soils,106.07,31.41,Sichuan,"Nanchong city, Sichan Province",,,farmland,,0-25,Purple soil,Inceptisols,Inceptisols,7.8,,8.7,45,21.34,31.58,47.08,611.48,973.18,17.37821429,22.64740741,acid ammonium oxalate,0.43,,,,4.12,,,,,660,446.03,mg/kg,0.084,0.084,ug/mL,L/mg,,37.46652,Smax*KL,mL/g,,,,,,,,,,,,,,,,
6,"Wang, Lingqing",2014,Effects of exogenous rare earth elements on phosphorus adsorption and desorption in different types of soils,125.82,49.55,Heilongjiang,"Nenjiang city, Heilongjiang Province",,,farmland,,0-25,Terra nera soil,Phaeozems,Phaeozems,5.8,,36.9,47,28.53,38.64,32.83,1785.39,1522.36,27.185,66.12555556,acid ammonium oxalate,2.71,,,,18.22,,,,,940,538.21,mg/kg,0.144,0.144,ug/mL,L/mg,,77.50224,Smax*KL,mL/g,,,,,,,,,,,,,,,,
7,"Wang, Lingqing",2014,Effects of exogenous rare earth elements on phosphorus adsorption and desorption in different types of soils,109.76,38.31,shaanxi,"Yulin city, Shaanxi Province",,,farmland,,0-25,Loess soil,Inceptisols,Inceptisols,8.3,,4.9,55,19.34,32.12,48.54,869.26,732.43,13.07910714,32.19481481,acid ammonium oxalate,87.29,,,,5.15,,,,,600,419.11,mg/kg,0.083,0.083,ug/mL,L/mg,,34.78613,Smax*KL,mL/g,,,,,,,,,,,,,,,,
8,"Wang, Lingqing",2014,Effects of exogenous rare earth elements on phosphorus adsorption and desorption in different types of soils,118.19,25.06,Fujian,"Anxi city, Fujian Province",,,farmland,,0-25,Red soil,Ferralosols,Ferralosols,5.2,,52.4,31,40.27,49.52,10.21,1146.32,1322.86,23.6225,42.4562963,acid ammonium oxalate,0.24,,,,2.72,,,,,360,741.84,mg/kg,0.113,0.113,ug/mL,L/mg,,83.82792,Smax*KL,mL/g,,,,,,,,,,,,,,,,
9,Lai-Ming Huang,2014,Long-term paddy cultivation significantly alters topsoil phosphorus transformation and degrades phosphorus sorption capacity,121.27,30.38,zhejiang,Cixi,1587,,single-crop rice,origional soil,0-30,primosol,Inceptisols,Inceptisols,7.86,,6.84428,,11,,,1790,11300,201.7857143,66.2962963,acid ammonium oxalate,63,,,,,,,,,,1861,mg/kg,0.005,0.005,L/mg,L/mg,0.281,9.305,Smax*KL,mL/g,,,,,,,44,DPS = PT/(Smax + Ptotal),%,,,,,,,
10,Lai-Ming Huang,2014,Long-term paddy cultivation significantly alters topsoil phosphorus transformation and degrades phosphorus sorption capacity,121.27,30.38,zhejiang,Cixi,1587,,single-crop rice,Cultivation age50,0-16,hapi-stagnic anthrosol,Anthrosols,Anthrosols,7.59,,35.92816,,13.9,,,1890,7850,140.1785714,70,acid ammonium oxalate,3.95,,,,,,,,,,283,mg/kg,0.152,0.152,L/mg,L/mg,0.258,43.016,Smax*KL,mL/g,,,,,,,90,DPS = PT/(Smax + Ptotal),%,,,,,,,
