"","lontitudee","latituden"
"1",119.19,37.81
"2",119.02,37.79
"3",119.38,37.63
"4",116.21,40.05
"5",106.07,31.41
"6",125.82,49.55
"7",109.76,38.31
"8",118.19,25.06
"9",121.27,30.38
"10",121.27,30.38
"11",121.27,30.38
"12",121.27,30.38
"13",121.27,30.38
"14",116.25,28.61
"15",116.25,28.61
"16",116.25,28.61
"17",116.25,28.61
"18",105.6,30.2
"19",105.6,30.2
"20",105.6,30.2
"21",105.6,30.2
"22",105.6,30.2
"23",105.6,30.2
"24",105.6,30.2
"25",105.6,30.2
"26",105.6,30.2
"27",105.6,30.2
"28",105.6,30.2
"29",105.6,30.2
"30",105.6,30.2
"31",105.6,30.2
"32",105.6,30.2
"33",105.6,30.2
"34",105.6,30.2
"35",105.6,30.2
"36",105.6,30.2
"37",105.6,30.2
"38",105.6,30.2
"39",105.6,30.2
"40",105.6,30.2
"41",111.4,33.2
"42",111.4,33.2
"43",111.4,33.2
"44",111.4,33.2
"45",111.4,33.2
"46",111.4,33.2
"47",111.4,33.2
"48",111.4,33.2
"49",111.4,33.2
"50",111.4,33.2
"51",111.4,33.2
"52",111.4,33.2
"53",111.4,33.2
"54",111.4,33.2
"55",111.4,33.2
"56",111.4,33.2
"57",111.4,33.2
"58",111.4,33.2
"59",111.4,33.2
"60",111.4,33.2
"61",111.4,33.2
"62",111.4,33.2
"63",111.4,33.2
"64",111.4,33.2
"65",111.4,33.2
"66",115.91,30.7
"67",115.91,30.7
"68",119.32,30.59
"69",119.32,30.59
"70",119.32,30.59
"71",119.32,30.59
"72",119.32,30.59
"73",119.32,30.59
"74",133.56,47.75
"75",133.56,47.75
"76",133.76,47.26
"77",133.56,47.75
"78",133.56,47.75
"79",133.76,47.26
"80",119.67,30.63
"81",119.67,30.63
"82",119.67,30.63
"83",119.67,30.63
"84",112.83,22.57
"85",112.83,22.57
"86",121.98,41.3
"87",121.98,41.3
"88",121.98,41.3
"89",121.98,41.3
"90",121.98,41.3
"91",106.39,29.94
"92",106.39,29.94
"93",106.39,29.94
"94",105.65,31.09
"95",105.65,31.09
"96",105.65,31.09
"97",104.65,28.77
"98",104.65,28.77
"99",104.65,28.77
"100",104.65,28.77
"101",120.27,31.52
"102",120.26,31.42
"103",120.31,31.17
"104",120.27,31.52
"105",120.26,31.42
"106",120.31,31.17
"107",120.27,31.52
"108",120.26,31.42
"109",120.31,31.17
"110",121.43,37.47
"111",121.43,37.47
"112",118.12,36.92
"113",116.55,40.22
"114",116.55,40.22
"115",116.55,40.22
"116",113.68,35.04
"117",113.68,35.04
"118",113.68,35.04
"119",113.68,35.04
"120",113.68,35.04
"121",113.68,35.04
"122",113.68,35.04
"123",113.68,35.04
"124",113.68,35.04
"125",113.68,35.04
"126",113.68,35.04
"127",113.68,35.04
"128",113.68,35.04
"129",113.68,35.04
"130",113.68,35.04
"131",118.54,37.52
"132",118.54,37.52
"133",118.54,37.52
"134",118.54,37.52
"135",115.79,39.75
"136",115.79,39.75
"137",115.79,39.75
"138",115.79,39.75
"139",102.77,24.87
"140",102.7,24.77
"141",102.68,24.68
"142",102.69,24.84
"143",120.57,33.4
"144",120.57,33.4
"145",120.57,33.4
"146",120.57,33.4
"147",120.57,33.4
"148",120.57,33.4
"149",120.57,33.4
"150",120.57,33.4
"151",120.57,33.4
"152",120.57,33.4
"153",125.8,43.5
"154",113.67,34.78
"155",111.87,26.75
"156",87.32,44.02
"157",87.32,44.02
"158",87.32,44.02
"159",111.87,26.75
"160",111.87,26.75
"161",111.87,26.75
"162",111.87,26.75
"163",111.87,26.75
"164",111.87,26.75
"165",119.03,33.64
"166",119.03,33.64
"167",121.77,42.15
"168",121.77,42.15
"169",121.77,42.15
"170",104.08,30.63
"171",104.09,30.63
"172",104,30.56
"173",104,30.56
"174",103.99,30.56
"175",104,30.56
"176",107,30.56
"177",103.65,30.53
"178",103.63,30.46
"179",104.5,30.34
"180",104.62,30.52
"181",118.68,31.97
"182",118.68,31.97
"183",118.68,31.97
"184",118.68,31.97
"185",118.68,31.97
"186",118.68,31.97
"187",110.3,19.06
"188",110.29,19.15
"189",109.7,19.71
"190",109.92,19.74
"191",109.96,19.35
"192",110.19,18.85
"193",109.7,18.55
"194",109.55,18.75
"195",109.69,19.07
"196",111.87,26.75
"197",117.9,40.22
"198",103.83,36.1
"199",104.63,35.58
"200",104.63,35.58
"201",104.63,35.58
"202",105.08,37.41
"203",107.19,35.69
"204",107.19,35.69
"205",102.85,37.67
"206",102.85,37.67
"207",102.85,37.67
"208",99.84,39.83
"209",119.24,26.09
"210",113.02,28.4
"211",113.12,27.79
"212",112.36,28.56
"213",113.26,28.28
"214",106.62,29.72
"215",106.56,29.68
"216",112.75,37.69
"217",112.75,37.69
"218",112.75,37.69
"219",112.75,37.69
"220",112.75,37.69
"221",112.75,37.69
"222",112.75,37.69
"223",112.75,37.69
"224",112.75,37.69
"225",112.88,28.68
"226",112.88,28.68
"227",112.35,28.84
"228",112.35,28.84
"229",112.1,26.8
"230",112.1,26.8
"231",117.94,28.46
"232",117.94,28.46
"233",117.94,28.46
"234",117.94,28.46
"235",117.94,28.46
"236",117.94,28.46
"237",117.94,28.46
